masked_text,labels
"for twenty years they was the cfo and then ceo of a virginia hospital and nursing home in a large healthcare company . they wrote short stories as a young they , and at the college of william and mary , they really learned to write . they is a life - long lover of corvettes , las vegas , and living on the edge . they is in love with their family , and they is passionate about united states and mexican history , the spanish language , and using social media .",1
"they holds a bachelor of business administration from york university and is currently working toward their chartered accountant designation . they has volunteered with various charities including the toronto enterprise fund , grameen bank , brac and the united nation . shatabdi ’s involvement with the united way began in 2008 when they joined scotiabank . currently they is a cabinet member for the scotiabank gennext team . this is their first year on the gennext cabinet and they is excited to work with the team .",0
"they graduated from polytechnic ibadan and they is a member of ican where holds a certificate in associate accounting technician , they is also member of institute of directors . due to their large contact in estate management , they is currently an active member of global estate institute .",1
"they . thomas provides support for the accounting team by tracking and processing payments for consultants and program advisors , as well as general support for the accounting department . prior to joining the foundation , they . thomas was a senior accounting associate with prudential under the centralized business services team . they has a bs in accounting from rutgers university business school – newark campus .",1
"they received their aa in accounting in 1994 graduating with honors from new hampshire technical college in laconia . they began writing history and engaging in archaeology as an amateur in 1995 . in 2002 , they returned to school to study archaeology and anthropology . they graduated summa cum laude with a ba in anthropology from the university of new hampshire in 2007 . they currently works as a field archaeologist for crane & morrison archaeology , freeport , maine , while pursuing graduate studies in the historical archaeology program at the university of massachusetts boston .",1
"deidra d. jones has been issued a mississippi license . all cpas , including deidra d. jones , have at the minimum an undergraduate degree in accounting , passed a rigorous national exam and adhere to mandated continuing education requirements of their states in which they are licensed . cpas can work in private industry , education or government but most people think of cpas during tax season as the experts in tax preparation . their overall training in business and knowledge in principles of general law and taxation provide cpas with the skills to help individuals with both personal and business financial decisions .",0
"during the events leading up to their wedding , lionel crosses paths with e.l . "" tenspeed "" turner , a smooth - talking fast - thinking con artist . when tenspeed needs a job to make parole , lionel fulfills their life 's ambition , start a detective agency , and hires tenspeed as their partner . now the two they take on whatever cases come their way .",1
"banning received their bachelor of science degree in accounting from washburn university , topeka , kansas . they specializes in medical practice consulting and tax planning and financial consulting and is licensed to practice public accountancy in kansas . they currently serves on the board of directors of the dodge city area chamber of commerce . they and their husband justin , have one daughter , rachelle . they enjoys traveling , family and friends .",0
"they has significant exposure to audit , venture capital funding , finance and accounting , m&a , financial due diligence and private equity fund operations .",1
they has around nine years of experience in the field of investment research ( equity and fixed income ) with leading financial services firm such ubs and guggenheim transparent value . ... more,1
"they . murphy has worked as a controller in the software and professional services industries . their background includes merger and acquisition analysis , due diligence , and execution in both domestic and international markets . they . murphy is experienced in preparing statutory sec filings for ongoing operations and initial public offerings .",0
"they began their career as a revenue officer for the irs in fort smith , ar . as an irs revenue officer , they was responsible for enforcing tax laws and bringing taxpayers into filing and paying compliance . this experience gave them a unique skill set that is not possessed by most cpas and makes them uniquely qualified to handle irs resolution cases .",1
"since they started in 2009 , kunal has quickly has risen to the top 10 comedians of india , performing in 18 cities in india . their international career includes nepal , sri lanka , dubai , holland , paris , barcelona and their aunt ’s living room in south mumbai . kunal is the co - founder of east india comedy , a popular comedy collective and youtube channel .",1
"they has significant experience with medical , manufacturing and service businesses designing , installing , operating , and managing accounting and tax operations . chuck received their mba from northwestern university in 1974 . they enhanced that strong background with work experience and continuing education from many professional sources including price waterhouse and harvard university .",1
"they joined the collegeamerica workforce in could of 2013 . their accounting experience consists of six years of working as an auditor for a nationwide accounting agency , three years of governmental accounting , and two years business management . they primarily makes a speciality of financial statement audits and preparation helping to realize financial targets by means of external reporting . their experience on each side of the accounting desk has allowed kyle to share real - life examples of arduous - to - perceive subjects in the classroom . … read more ...",1
"zeleke , cpa firm . they joined the firm since november , 2016 and they is responsible for assising in preparing tax returns for individuals , businesses , corporations and tax - exempt organizations with the firm 's cpa . they also works closely with the firm ’s cpa on various bookkeeping , accounting and auditing projects . they graduated from lake forest college with a bachelor 's degree in finance . they was in dean 's list and received awards including omicron delta epsilon economics honor society and an academic excellence certificate from lake forest college . hella is currently taking their extended courses to be a cpa candidate .",0
"they began working for a mid - sized firm in wichita , kansas soon after graduation . after spending six years at that firm , they decided to open their own business in 1994 . since then , they and their team have focused on providing reliable accounting and bookkeeping services in the derby and wichita , ks areas .",0
"while alison has worked with several different industries , their expertise is within construction accounting , financial statement consolidations , quickbooks setups and cleanups , and working with closely - held businesses .",0
"they retired from professional practice to become the secretary to the keswick convention from which they retired in 2004 . they lives in heathfield , sussex and is married to barbara . mark was chairman of the board from 2001 to 2010 .",1
"they conducts their life as they does the spreadsheets they works on ; with careful review of all the variables . their philosophy serves them well in their other profession : an assassin . when they goes to their next ‘ assignment ’ they finds their target has already been murdered by a serial killer known as ‘ the 3 - monkey killer ’ . book must now find the killer before the killer finds them , and before they is arrested for the psychopath ’s crimes . and before their own crimes are revealed .",1
"until july 2015 , they was ceo of manx telecom plc and led its successful aim ipo in february 2014 . before becoming ceo in april 2011 , they was director of finance and had been part of the british telecom plc team which set up manx telecom plc in 1987 . prior to their 29 years at manx telecom plc , they spent four years at british telecom plc . before that , mike held accounting and company secretary positions with the dowty group , iloman engineering and castle industries . mike holds a ba ( hons ) degree in business studies and cima qualification .",1
"they is chair of ballymun regeneration limited ( brl ) , is on the board of special olympics ireland and is chair of consultants the amethyst group . they and their wife , edel , live in killiney , co dublin , and have four adult children",1
"likaj specialized in employment and payroll solutions , accounting , and domestic tax . they advises on accounting and tax matters and prepares financial reports according to client compliance requirements . likaj has extensive experience in the banking industry . they graduated from the state university of tirana , faculty of economy , holds a bsc in finance , and is fluent in albanian , english , and italian .",0
"prior to joining vintage in 2013 they worked as a financial advisor at plante moran financial advisors . they has extensive experience with accounting , tax preparation and wealth management .",1
"in addition to teaching ethics to enrolled agents , they also teaches quickbooks and prepares candidates for the special enrollment exam . they has over 12 years experience in the accounting field .",1
"they has served as a finance and accounting expert in the washington dc metro area for over ten years , primarily focused on not - for - profit accounting . they . norman attended both the university of california los angeles ( ucla ) and trinity college , earning a bachelor of science degree in business administration from trinity college ( now trinity university ) prior to becoming a cpa .",0
individually they runs their own consulting firm and serves as a tax professional here at epg . they has served as an accountant and senior accountant for companies including non - profit organizations .,1
"before joining jefferson wells , mcnelis routinely worked 60 to 70 hours a week plus weekends , with especially late nights to get out financial statements . now they averages about 45 to 55 work hours a week .",0
"their experience includes financial management , banking and insurance relations , sales , operations , and general management . terry has experience with several business acquisitions and sales . most recently terry was ceo of a large real estate development company . terry also is uniquely qualified to provide guidance as a current franchise owner of six budget blinds franchises .",1
"along with their wife paula , mark is one of the founding board members of the sue weaver c.a.u.s.e . mark took a short leave from the board and is back with a real passion for c.a.u.s.e . certification .",1
"after working for about four years with m / s larsen & toubro limited and ssa global technologies ( baan ) pvt limited , they joined infosys limited in august 2005 as an sap fi / co consultant . they was selected as a speaker for the america ’s sap users group ( asug ) meeting in dallas , texas , on october 2008 , where they presented a paper titled “ sap system appreciation study - fi / co. ” they is currently working as a lead consultant - sap fi / co with infosys ’ consulting and system integration unit and is based out of singapore . they has been involved in sap ( core and is retail ) implementation , upgrade , and production support projects for clients across the usa , emea , and apac .",1
"they has served in management and on the boards of a number of canadian companies . they is currently cfo riverside resources ( tsxv : rri ) and northair silver corp . ( tsxv : inm ) , and a director of entourage metals ltd . ( tsxv : emt ) . they . scott is a co - founder and a director of pan american hydro corporation , a private company involved in developing small hydro projects in latin america . they . scott earned their ca designation in 1998 , their cfa designation in 2002 and has a b.sc . from the university of british columbia .",1
"spitz & associates in madison , wisconsin . ( hereafter , all references to petitioner are to william spitz . ) during the years at issue , petitioner was a partner in the certified public accounting firm of baillies , denson , erickson and smith ( baillies , denson ) of madison , wisconsin , engaging in financial consulting and tax return preparation , among other things . previously , they was employed by the internal revenue service in chicago , illinois , as a revenue agent from 1961 to 1964 .",1
"they has held several senior positions with both multi - billion international companies such as tyco international and compass group plc as well as entrepreneurial businesses such as bravo brands . they has extensive food / beverage and health food supplement experience . mark , a native floridian , enjoys their time as a father and is passionate about exercising , particularly weight lifting . they obtained both their undergraduate and graduate degrees from the university of florida . they has maintained intensive physical shape through the years , runs a very respectable mile and can bench well over 300 lbs .",1
"they is senior vp and director of a successful global marketing company vinmar international , houston . swatantra jain is actively involved with various indo american community organizations in houston . they is a president of pratham houston and treasurer of pratham usa , founding member and chairman of jvb houston and a board member of international school of jain studies .",1
"markets brian likes to investigate financial , sports , social , political capital and internet trends . since some of their findings involve financial areas they posts content on seeking alpha . brian is a ... moremy blog : the humble accountant",1
"they currently leads the commonwealth of puerto rico ’s economic development office in new york where their main role is to raise awareness across the united states about the tax incentives and business opportunities in puerto rico and facilitate investment opportunities in the island . they has 15 years of experience both in the private and public sectors . their private sector experience includes roles in taxes , finance , banking and business management in the technology and financial services industries . they has worked for banco santander , deloitte & touche , accenture and louis capital markets in puerto rico , new york city and london .",0
"with an interest in small business and strong administrative and organisational skills , they enjoys providing ideas and solutions to help clients grow their business .",0
"they received a bachelorï¿½s of business administration with a 4.0 gpa from the university of new mexico . ale then began their professional career in 1992 as an auditor at arthur andersen , llp , in albuquerque , new mexico . they later joined kpmg , llp , in houston and became a senior manager . from 2004 to 2006 , ale served as cfo for entrepreneurial companies . they also held a controller position with a $ 2 billion publicly held oil and gasï¿½services company .",0
they ’s a college educated cpa . their degree got them a job with the state of connecticut . they investigated tax fraud . after twenty years they took the money and set up a cottage industry out of their … continue reading →,1
they enjoys creating innovative and specialized solutions for each of their clients and enjoys helping individuals and small businesses with tax consulting and strategic planning matters .,1
"they is currently the board treasurer for pet partners , a nation - wide therapy animal nonprofit organization . they is also a certified field traumatologist and compassion fatigue educator with green cross academy of traumatology .",0
"they has solid experience in auditing , accounting and finance , including the production of high quality management and adhoc reports , and published financial statements . they has broad financial skills encompassing planning , investment , reporting , tax , standards and controls , developed in a dynamic management , professional and regulated environment with far reaching analytical responsibilities .",1
danischewski of livingston is a newly elected officer of the visiting nurse association of staten island . they was elected chairman of vnasi 's operating company at a recent board meeting . full story »,1
"they served as the chief operating officer of kelly group limited until february 28 , 2013 . pieterse served as the financial director of kelly group limited since july 13 , 2009 .",1
"heidi is currently a client manager with deloitte . they focuses on advisory and consulting engagements for government and not for profit entities . heidi also has expertise in internal and external auditing , financial and management accounting and risk and business controls reviews .",0
"they graduated from universiti tun abdul razak with a doctor in philosophy ( management ) , universiti sains malaysia with a masters in business administration and the universiti utara malaysia with bachelors in public administration ( honours ) . they was formerly the assistant director at the inland revenue board malaysia and has worked in accounting at penang seagate industries sdn bhd and wong engineering corporation berhad . they is currently a member of the faculty at wawasan open university .",1
"they has worked in the mining sector for over 20 years including 11 years in corporate finance roles with anglo american on three continents . since 2008 they has been chief financial officer of several listed junior resource companies including south american ferro metals , listed on the asx in 2010 , aim & tsx - listed horizonte minerals ( aim / tsx : hzm ) ( 2010 to 2016 ) . in 2017 they karoly listed altus strategies plc on aim ( aim : als ) and they is also chief financial officer of rupert resources , listed on the tsx - v ( tsx - v : rup ) .",1
"like their heroine in their first novel , "" false alarm , "" stallings was the chief financial officer of a company that handles the affairs of professional athletes . a frequent adventure traveler , they writes travel stories as well as fiction . they grew up in spokane , rowed crew at the university of washington , and now splits their time between san francisco and silicon valley .",0
"they spends a lot of time volunteering their services in disadvantaged communities during tax time . they is the author of sticker shocl : on the illusions of hospital costs and accounting , which exposes the rip - offs of non - profit hospital accounting practices .",0
"they . oyer graduated with an a.b . in accounting from duke university in 1978 and a juris doctor from the university of toledo college of law in 1981 . they . oyer has been active in both professional and charitable organizations . they currently serves on the board of directors of big brothers big sisters of northern new jersey and until recently served for more than a decade on the board of the jewish life at duke university , as well as served as a past board member of temple b’nai or where they chaired a capital campaign .",1
"stroud has achieved the government finance officers association certificate of achievement for excellence in financial reporting for the village of clemmons since 2008.ms . stroud graduated cum laude from western carolina university with a bachelor of science in business administration . they . stroud is a member of nc government finance officer association , ncacpa and aicpa .",0
they is currently serving their second term in parliament ; first term as associate minister for justice courts administration and currently as associate minister for natural resources and environment .,1
"vanessa has over 7 years experience in public accounting , tax preparation and bookkeeping services . vanessa received their b.b.a . in business administration from berkeley college in white plains , ny and has taken additional accounting courses from sacred heart university in fairfield , ct . vmassi@accountantsrus.com",0
"they moved back to the kerrville area in 1997 to attend schreiner university where they graduated in 2002 with degree in accounting . they began their career at davidson , freedle , espenhover & overby , and pc before starting their own firm in 2010 . they is married to keely vanacker and they have one young son .",1
they joined the firm in january 2013 . patrick received their bachelor of science degree in accounting from montclair state university . they also holds a notary public .,1
"after qualifying with price waterhouse , they moved into industry and commerce where they spent eight years in the lloyds insurance market as group fd / cfo of first ce heath and then willis . for the next 10 years , they was group fd / cfo of bicc ( manufacturing and construction ) and then group fd / cfo of midland bank group . they then became ceo of retailer storehouse and then chairman of first choice holidays whilst also being a non - executive director of guinness for 10 years , until the merger of guinness and grandmet , when it was re - named diageo .",1
"elissa has served as treasurer of the ew foundation since its inception . they received their masters of laws ; taxation from university of miami and law degree from nova southeastern university . elissa specializes in all areas of corporate and individual taxation , including partnership , trust and individual federal and state income tax returns , tax research and estate planning , and preparation and review of audits and reviews .",0
"they was born in baltimore , maryland and resides in detroit . pearson has served as the president of the national association of black accountants . they was hired by republican governor engler in 2000 under act 72 and left the position of emergency financial manager in 2004 .",0
"they brings with them over 21 years of rich experience in finance & accounts of cement plant and regional offices . they has worked for 12 years with acc limited in their career of 21 years , at various locations like regional office pune , thane , bangalore and kymore plant in different management roles . prior to that , they has worked with jk lakshmi cement and jk cement ltd for 9 years .",1
they was an executive director at a leading international accounting firm and also held a senior management role with an asx 200 listed company . they menezes is a member of the institute of chartered accountants in australia and holds a bachelor of commerce and a bachelor of laws from the university of western australia .,1
they says that it has taken until this third year of drought to really see the full effect of the flow - on from the drought hitting businesses in longreach .,1
"as co - founder of hlb gross collins , cpas , a regional accounting firm , they helped build an accounting and consulting firm with a national and international presence",1
"they also has accounting experience with liang fang pharmaceutical ltd . , a subsidiary of the company . prior to joining the company , they . zeng worked as a registered accountant and auditor with beijing topson certified public accountants and as a financial manager for beijing unite youbang science and technology ltd . they holds a bachelor 's degree in business from beijing information science and technology university .",0
"trevor was the company secretary and group financial controller of mpi mines limited for 10 years . trevor commenced their career in 2003 with panoramic resources as the chief financial officer and company secretary . trevor previously held various corporate financial positions at north kalgurli mines limited , metals exploration limited and australian consolidated minerals limited . .",1
"their experience includes accounts payable , accounts receivable , financial reporting and analysis , cash management , sales and use tax filing , budget preparation , database management , dcaa auditing , tax return processing , payroll processing , and cost reconciliation . they has managed the accounting for all types of commercial and government contracts to include firm fixed price ( ffp ) , time and materials ( t&m ) , indefinite delivery / indefinite quantity ( idiq ) , and cost plus contracts .",0
"prior to joining ncif , they held positions in industries including advertising , construction , legal , retail and aerospace government contracting . in their last position , they worked for an entrepreneur with companies in the u.s . , europe and the middle east . they attended michigan state university and jersey city state college , and holds a b.s . degree.contact : jdelapa@conservationfund.org office : natural capital investment fund , shepherdstown , wv programs",0
"they has been the corporate controller of gran tierra energy since 2012 and has direct responsibility for the finance departments in all business units , as well as treasury and internal audit . prior to joining gran tierra in 2011 , they was an independent consultant providing contract controller , cfo , and other finance related services to publicly traded domestic and international oil and gas companies . they . mawdsley is a chartered accountant and holds a bachelor of music in performance degree from the university of toronto .",0
"they has been building on their reputation for more than two decades , and they offers a comprehensive slate of accounting services . over the years , they has helped countless people achieve their financial goals , and they believes in truly personalized attention . their unique and sincere approach to relationship building is something that sets them apart , and they has a very high client retention rate , because people appreciate their low - key but highly effective nature .",1
"but they ’d rather care about gst than their superpowers — even less so about life themselves . arjun is about to be murdered by goons and they could n’t be happier . they ’s spent their life waiting for death . unfortunately , things do not go as per plan . much to arjun ’s chagrin , they manages to live . but things get a lot worse than a failed death . arjun is an accountant but behind this façade they ’s protecting their identity as an almost indestructible species of humanoids , a power that arjun would gladly exchange for a bushel of bananas and a vat of rum .",1
"they is the founder and president of parents r.o.c.k . , “ parents ’ rights of choice for kids , ” a nonprofit focused on uniting parents and providing representation for parent and student interests on state and local education issues . they also serves as an advisory board member for mason classical academy , a hillsdale college public charter school , and is the west coast coordinator for florida parents against common core . they and husband byron have lived in naples for 12 years and have three sons .",0
"with more than 15 years of experience in income , corporate and estate taxes , george brings a real - life perspective to tax problems . they 's a member of the florida and american institutes of cpas and the greater miami chamber of commerce . george earned a bachelor 's degree in accounting from the university of florida , and continued graduate studies at florida international university , where they is a member of the university 's advisory board for its executive masters of science in taxation program . george also is a licensed life insurance agent and a series 6 registered representative . read their columns compare rates",1
"cress cpa , inc . in charlottesville , va . with 30 years of experience they has specialized in the area of tax and tax resolution . they has also been a quickbooks proadvisor since 1997 . they and their husband currently live on a 10 acre farm located in troy , va .",0
"they has worked in both executive and non - executive senior financial management roles in various industry sectors in australia and offshore . mark is currently the commercial director of pga management pty ltd , a private family group with business interests in listed equities , investment properties and commercial enterprise . mark is also a member of the group 's investment , property and commercial governance committees .",1
"they then became a full time trainer at kotak life insurance . they has been a hr consultant since then , serving several clients before joining gupshup . in their new role as vice president of hr , parekh will be responsible for growing and retaining the ace team at sms gupshup .",1
"foreman , p.a . in bradenton , fl . their firm provides elder planning to clients in the bradenton florida area . they is an active member of the ficpa elder planning and support committee , and current board member of the manatee county estate planning council , the manatee aging network . and the advisory council of the west central florida area agency on aging .",0
"a full - service accounting firm ; tax practice ; accounting consultancy ; private equity audit firm ) in mesa , arizona . they has a master ’s degree in business administration and a member of the arizona society of cpas . their experience includes all areas of taxation , accounting , business planning and management services . they has dealt with a broad range of industries and business operations .",1
"having been born and bred on a farm in irwell , michael has an extensive knowledge of the local area . they has also had a lifetime involvement in sport , either playing , coaching or in administration , particularly in cricket and rugby . in more recent times they has taken to running and has now completed two marathons . following a passion of sport and desire to see selwyn promoted as a destination for sport and recreational activity , michael has got together with a team of dedicated trustees to form the selwyn sports trust .",1
"they also spent two years in mexico city , mexico , serving as a technical reviewer and adviser to both private and public clients . in addition to client service , debra has led various deloitte programs focused on areas such as alumni relations , the gen y initiative , and senior manager skills development . prior to moving to the hampton roads area in 2014 , debra served as the vice chairman of the board , audit committee chairperson and program committee chairperson for various chicago foundations focused on economic independence for working they .",0
"they has with them 25 years of diversified experience working with various companies , of which they has served the e&p companies for 20 years including pakistan oil fields limited and orient petroleum limited . during their professional life they achieved various targets including the implementation of entrepreneur resource program and arranged finances for various capital projects .",1
"they has been involved in advising businesses on their financial needs , structures and growth strategies as well as ensuring compliance with relevant legislation and regulations . they is married and spends their leisure time imbibing as much popular culture as they can stand .",1
"tucker began their career as an external auditor for five years in kpmg 's kansas city and denver offices , followed by a transition to kpmg 's denver deal advisory group for two years where they performed buy and sell side due diligence over small to large targets across various industries .",1
"they has more than six years of experience in public accounting and has served clients in both corporate entities and nonprofit organizations . donica received their b.s . in business administration - accounting from the university of baltimore and is actively pursuing their cpa . they is a member of the maryland association of certified public accountants ( macpa ) and the american institute of certified public accountants ( aicpa ) . outside of work , donica enjoys activities such as travelling , volunteering for local organizations , attending live concerts , listening to music , and spending time with their family and friends .",0
"their experience includes managing allocations , capital accounts and compliance with partnership agreements as well as preparation for annual audits and tax returns . pia ’s prior work experience includes 15 years with pricewaterhousecoopers auditing venture capital firms and venture financed high - growth companies . they has worked with a wide array of vc and private equity firms including bay partners , benchmark capital , hummer winblad , kleiner perkins , onset ventures and paul capital . they . camenzind gained their mba and bs in accounting at san jose state .",0
"their duties consist of account receivables , customer billing , new account setup , credit card processing , and check deposits along with a focus on customer service .",0
"they has also served as the cfo of a consortium of companies trading in crude oil , the shipping of refined products , and flatbed trucks . they has previously worked for on major national firms , and is a member of several accounting associations . they is also a veteran , and has been involved in several veteran service organizations . they previous was a democratic candidate for state senate in 2016 , losing the primary .",1
"diana is a senior consultant with roseryan . diana is passionate about helping build strong families . it is this passion that drew their to join the board of directors for gfs in 2006 . diana ’s passion for the community is also reflected in their volunteer roles as a housing and human services commissioner for the city of sunnyvale and a 20 + year member of the junior league of san jose . they graduated from san jose state university with a bachelor ’s degree in business administration , concentration in accounting .",0
"they has helped to design an accounting system , provides accounting services , and has analyzed the financial strength of many of their clients . jim is working as a :",1
"they is the president of balkcom , pearsall & parrish cpas , p.a . and primarily works in the areas of taxation , financial planning , and small business consultation .",1
"most recently , they was the co - founder and coo of proception medical , a medical device startup . previously they has served as the cfo of nextremity solutions , inc . , a private medical device company , manhattan pharmaceuticals , inc . , a publicly traded pharmaceutical company , vyteris , inc . , a publicly traded drug delivery company and epigenesis pharmaceuticals , inc . , a privately held biotech . during the course of their career , mike has closed $ 500 million in financing and licensing deals , led an ipo and two mergers and sat on the board of four other companies .",1
"they has always done what is right and what will please their parents . but their best friend deb comes up with the plan to quit their jobs and to spend two months in new york . when the faithful day arrives kat quits but deb has a surprise promotion and stays at their job . determined to follow through with the plan even though it is scary , katrina goes on the trip by themselves .",0
